site,data_type,trend,h
Site_85,avg_level,decreasing,True
Site_85,min_level,decreasing,True
Site_86,avg_level,decreasing,True
Site_86,min_level,decreasing,True
Site_87,avg_level,decreasing,True
Site_87,min_level,decreasing,True
Site_88,avg_level,decreasing,True
Site_88,min_level,decreasing,True
Site_89,avg_level,decreasing,True
Site_89,min_level,decreasing,True
Site_90,avg_level,decreasing,True
Site_90,min_level,decreasing,True
Site_91,avg_level,decreasing,True
Site_91,min_level,decreasing,True
Site_92,avg_level,decreasing,True
Site_92,min_level,decreasing,True
Site_93,avg_level,decreasing,True
Site_93,min_level,decreasing,True
Site_94,avg_level,decreasing,True
Site_94,min_level,decreasing,True
Site_95,avg_level,decreasing,True
Site_95,min_level,decreasing,True
Site_96,avg_level,decreasing,True
Site_96,min_level,decreasing,True
Site_97,avg_level,decreasing,True
Site_97,min_level,decreasing,True
Site_98,avg_level,decreasing,True
Site_98,min_level,decreasing,True
Site_99,avg_level,decreasing,True
Site_99,min_level,decreasing,True
Site_100,avg_level,decreasing,True
Site_100,min_level,decreasing,True
Site_101,avg_level,decreasing,True
Site_101,min_level,decreasing,True
Site_102,avg_level,decreasing,True
Site_102,min_level,decreasing,True
Site_103,avg_level,decreasing,True
Site_103,min_level,decreasing,True
Site_104,avg_level,decreasing,True
Site_104,min_level,decreasing,True
Site_105,avg_level,decreasing,True
Site_105,min_level,decreasing,True
Site_106,avg_level,decreasing,True
Site_106,min_level,decreasing,True
Site_107,avg_level,decreasing,True
Site_107,min_level,decreasing,True
Site_108,avg_level,decreasing,True
Site_108,min_level,decreasing,True
Site_109,avg_level,decreasing,True
Site_109,min_level,decreasing,True
Site_110,avg_level,decreasing,True
Site_110,min_level,decreasing,True
Site_111,avg_level,decreasing,True
Site_111,min_level,decreasing,True
Site_112,avg_level,decreasing,True
Site_112,min_level,decreasing,True
Site_113,avg_level,decreasing,True
Site_113,min_level,decreasing,True
Site_114,avg_level,decreasing,True
Site_114,min_level,decreasing,True
Site_115,avg_level,decreasing,True
Site_115,min_level,decreasing,True
Site_116,avg_level,decreasing,True
Site_116,min_level,decreasing,True
Site_117,avg_level,decreasing,True
Site_117,min_level,decreasing,True
Site_118,avg_level,decreasing,True
Site_118,min_level,decreasing,True
Site_119,avg_level,decreasing,True
Site_119,min_level,decreasing,True
Site_120,avg_level,decreasing,True
Site_120,min_level,decreasing,True
Site_121,avg_level,decreasing,True
Site_121,min_level,decreasing,True
Site_122,avg_level,decreasing,True
Site_122,min_level,decreasing,True
Site_123,avg_level,decreasing,True
Site_123,min_level,decreasing,True
Site_124,avg_level,decreasing,True
Site_124,min_level,decreasing,True
Site_125,avg_level,decreasing,True
Site_125,min_level,decreasing,True
Site_126,avg_level,decreasing,True
Site_126,min_level,decreasing,True
Site_127,avg_level,decreasing,True
Site_127,min_level,decreasing,True
Site_128,avg_level,decreasing,True
Site_128,min_level,decreasing,True
Site_129,avg_level,decreasing,True
Site_129,min_level,decreasing,True
Site_130,avg_level,decreasing,True
Site_130,min_level,decreasing,True
Site_131,avg_level,decreasing,True
Site_131,min_level,decreasing,True
Site_132,avg_level,decreasing,True
Site_132,min_level,decreasing,True
Site_133,avg_level,decreasing,True
Site_133,min_level,decreasing,True
Site_134,avg_level,decreasing,True
Site_134,min_level,decreasing,True
Site_135,avg_level,decreasing,True
Site_135,min_level,decreasing,True
Site_136,avg_level,decreasing,True
Site_136,min_level,decreasing,True
Site_137,avg_level,decreasing,True
Site_137,min_level,decreasing,True
Site_138,avg_level,decreasing,True
Site_138,min_level,decreasing,True
Site_139,avg_level,decreasing,True
Site_139,min_level,decreasing,True
Site_140,avg_level,decreasing,True
Site_140,min_level,decreasing,True
Site_141,avg_level,decreasing,True
Site_141,min_level,decreasing,True
Site_142,avg_level,decreasing,True
Site_142,min_level,decreasing,True
Site_143,avg_level,decreasing,True
Site_143,min_level,decreasing,True
Site_144,avg_level,decreasing,True
Site_144,min_level,decreasing,True
Site_145,avg_level,decreasing,True
Site_145,min_level,decreasing,True
Site_146,avg_level,decreasing,True
Site_146,min_level,decreasing,True
Site_147,avg_level,decreasing,True
Site_147,min_level,decreasing,True
Site_148,avg_level,decreasing,True
Site_148,min_level,decreasing,True
Site_149,avg_level,decreasing,True
Site_149,min_level,decreasing,True
Site_150,avg_level,decreasing,True
Site_150,min_level,decreasing,True
Site_151,avg_level,decreasing,True
Site_151,min_level,decreasing,True
Site_152,avg_level,decreasing,True
Site_152,min_level,decreasing,True
Site_153,avg_level,decreasing,True
Site_153,min_level,decreasing,True
Site_154,avg_level,decreasing,True
Site_154,min_level,decreasing,True
Site_155,avg_level,decreasing,True
Site_155,min_level,decreasing,True
Site_156,avg_level,decreasing,True
Site_156,min_level,decreasing,True
Site_157,avg_level,decreasing,True
Site_157,min_level,decreasing,True
Site_158,avg_level,decreasing,True
Site_158,min_level,decreasing,True
Site_159,avg_level,decreasing,True
Site_159,min_level,decreasing,True
Site_160,avg_level,decreasing,True
Site_160,min_level,decreasing,True
Site_161,avg_level,decreasing,True
Site_161,min_level,decreasing,True
Site_162,avg_level,decreasing,True
Site_162,min_level,decreasing,True
Site_163,avg_level,decreasing,True
Site_163,min_level,decreasing,True
Site_164,avg_level,decreasing,True
Site_164,min_level,decreasing,True
Site_165,avg_level,decreasing,True
Site_165,min_level,decreasing,True
Site_166,avg_level,decreasing,True
Site_166,min_level,decreasing,True
Site_167,avg_level,decreasing,True
Site_167,min_level,decreasing,True
Site_168,avg_level,decreasing,True
Site_168,min_level,decreasing,True
Site_169,avg_level,decreasing,True
Site_169,min_level,decreasing,True
Site_170,avg_level,decreasing,True
Site_170,min_level,decreasing,True
Site_171,avg_level,decreasing,True
Site_171,min_level,decreasing,True
Site_172,avg_level,decreasing,True
Site_172,min_level,decreasing,True
Site_173,avg_level,decreasing,True
Site_173,min_level,decreasing,True
Site_174,avg_level,decreasing,True
Site_174,min_level,decreasing,True
Site_175,avg_level,decreasing,True
Site_175,min_level,decreasing,True
Site_176,avg_level,decreasing,True
Site_176,min_level,decreasing,True
Site_177,avg_level,decreasing,True
Site_177,min_level,decreasing,True
Site_178,avg_level,decreasing,True
Site_178,min_level,decreasing,True
Site_179,avg_level,decreasing,True
Site_179,min_level,decreasing,True
Site_180,avg_level,decreasing,True
Site_180,min_level,decreasing,True
Site_181,avg_level,decreasing,True
Site_181,min_level,decreasing,True
Site_182,avg_level,decreasing,True
Site_182,min_level,decreasing,True
Site_183,avg_level,decreasing,True
Site_183,min_level,decreasing,True
Site_184,avg_level,decreasing,True
Site_184,min_level,decreasing,True
Site_185,avg_level,decreasing,True
Site_185,min_level,decreasing,True
Site_186,avg_level,decreasing,True
Site_186,min_level,decreasing,True
Site_187,avg_level,decreasing,True
Site_187,min_level,decreasing,True
Site_188,avg_level,decreasing,True
Site_188,min_level,decreasing,True
Site_189,avg_level,decreasing,True
Site_189,min_level,decreasing,True
Site_190,avg_level,decreasing,True
Site_190,min_level,decreasing,True
Site_191,avg_level,decreasing,True
Site_191,min_level,decreasing,True
Site_192,avg_level,decreasing,True
Site_192,min_level,decreasing,True
Site_193,avg_level,decreasing,True
Site_193,min_level,decreasing,True
Site_194,avg_level,decreasing,True
Site_194,min_level,decreasing,True
Site_195,avg_level,decreasing,True
Site_195,min_level,decreasing,True
Site_196,avg_level,decreasing,True
Site_196,min_level,decreasing,True
Site_197,avg_level,decreasing,True
Site_197,min_level,decreasing,True
Site_198,avg_level,decreasing,True
Site_198,min_level,decreasing,True
Site_199,avg_level,decreasing,True
Site_199,min_level,decreasing,True
Site_200,avg_level,decreasing,True
Site_200,min_level,decreasing,True
Site_201,avg_level,decreasing,True
Site_201,min_level,decreasing,True
Site_202,avg_level,decreasing,True
Site_202,min_level,decreasing,True
Site_203,avg_level,decreasing,True
Site_203,min_level,decreasing,True
Site_204,avg_level,decreasing,True
Site_204,min_level,decreasing,True
Site_205,avg_level,decreasing,True
Site_205,min_level,decreasing,True
Site_206,avg_level,decreasing,True
Site_206,min_level,decreasing,True
Site_207,avg_level,decreasing,True
Site_207,min_level,decreasing,True
Site_208,avg_level,decreasing,True
Site_208,min_level,decreasing,True
Site_209,avg_level,decreasing,True
Site_209,min_level,decreasing,True
Site_210,avg_level,decreasing,True
Site_210,min_level,decreasing,True
Site_211,avg_level,decreasing,True
Site_211,min_level,decreasing,True
Site_212,avg_level,decreasing,True
Site_212,min_level,decreasing,True
Site_213,avg_level,decreasing,True
Site_213,min_level,decreasing,True
Site_214,avg_level,decreasing,True
Site_214,min_level,decreasing,True
Site_215,avg_level,decreasing,True
Site_215,min_level,decreasing,True
Site_216,avg_level,decreasing,True
Site_216,min_level,decreasing,True
Site_217,avg_level,decreasing,True
Site_217,min_level,decreasing,True
Site_218,avg_level,decreasing,True
Site_218,min_level,decreasing,True
Site_219,avg_level,decreasing,True
Site_219,min_level,decreasing,True
Site_220,avg_level,decreasing,True
Site_220,min_level,decreasing,True
Site_221,avg_level,decreasing,True
Site_221,min_level,decreasing,True
Site_222,avg_level,decreasing,True
Site_222,min_level,decreasing,True
Site_223,avg_level,decreasing,True
Site_223,min_level,decreasing,True
Site_224,avg_level,decreasing,True
Site_224,min_level,decreasing,True
Site_225,avg_level,decreasing,True
Site_225,min_level,decreasing,True
Site_226,avg_level,decreasing,True
Site_226,min_level,decreasing,True
Site_227,avg_level,decreasing,True
Site_227,min_level,decreasing,True
Site_228,avg_level,decreasing,True
Site_228,min_level,decreasing,True
Site_229,avg_level,decreasing,True
Site_229,min_level,decreasing,True
Site_230,avg_level,decreasing,True
Site_230,min_level,decreasing,True
Site_231,avg_level,decreasing,True
Site_231,min_level,decreasing,True
Site_232,avg_level,decreasing,True
Site_232,min_level,decreasing,True
Site_233,avg_level,decreasing,True
Site_233,min_level,decreasing,True
Site_234,avg_level,decreasing,True
Site_234,min_level,decreasing,True
Site_235,avg_level,decreasing,True
Site_235,min_level,decreasing,True
Site_236,avg_level,decreasing,True
Site_236,min_level,decreasing,True
Site_237,avg_level,decreasing,True
Site_237,min_level,decreasing,True
Site_238,avg_level,decreasing,True
Site_238,min_level,decreasing,True
Site_239,avg_level,decreasing,True
Site_239,min_level,decreasing,True
Site_240,avg_level,decreasing,True
Site_240,min_level,decreasing,True
Site_241,avg_level,decreasing,True
Site_241,min_level,decreasing,True
Site_242,avg_level,decreasing,True
Site_242,min_level,decreasing,True
Site_243,avg_level,decreasing,True
Site_243,min_level,decreasing,True
Site_244,avg_level,decreasing,True
Site_244,min_level,decreasing,True
Site_245,avg_level,decreasing,True
Site_245,min_level,decreasing,True
Site_246,avg_level,decreasing,True
Site_246,min_level,decreasing,True
Site_247,avg_level,decreasing,True
Site_247,min_level,decreasing,True
Site_248,avg_level,decreasing,True
Site_248,min_level,decreasing,True
Site_249,avg_level,decreasing,True
Site_249,min_level,decreasing,True
Site_250,avg_level,decreasing,True
Site_250,min_level,decreasing,True
Site_251,avg_level,decreasing,True
Site_251,min_level,decreasing,True
Site_252,avg_level,decreasing,True
Site_252,min_level,decreasing,True
Site_253,avg_level,decreasing,True
Site_253,min_level,decreasing,True
Site_254,avg_level,decreasing,True
Site_254,min_level,decreasing,True
Site_255,avg_level,decreasing,True
Site_255,min_level,decreasing,True
Site_256,avg_level,decreasing,True
Site_256,min_level,decreasing,True
Site_257,avg_level,decreasing,True
Site_257,min_level,decreasing,True
Site_258,avg_level,decreasing,True
Site_258,min_level,decreasing,True
Site_259,avg_level,decreasing,True
Site_259,min_level,decreasing,True
Site_260,avg_level,decreasing,True
Site_260,min_level,decreasing,True
Site_261,avg_level,decreasing,True
Site_261,min_level,decreasing,True
Site_262,avg_level,decreasing,True
Site_262,min_level,decreasing,True
Site_263,avg_level,decreasing,True
Site_263,min_level,decreasing,True
Site_264,avg_level,decreasing,True
Site_264,min_level,decreasing,True
Site_265,avg_level,decreasing,True
Site_265,min_level,decreasing,True
Site_266,avg_level,decreasing,True
Site_266,min_level,decreasing,True
Site_267,avg_level,decreasing,True
Site_267,min_level,decreasing,True
Site_268,avg_level,decreasing,True
Site_268,min_level,decreasing,True
Site_269,avg_level,decreasing,True
Site_269,min_level,decreasing,True
Site_270,avg_level,decreasing,True
Site_270,min_level,decreasing,True
Site_271,avg_level,decreasing,True
Site_271,min_level,decreasing,True
Site_272,avg_level,decreasing,True
Site_272,min_level,decreasing,True
Site_273,avg_level,decreasing,True
Site_273,min_level,decreasing,True
Site_274,avg_level,decreasing,True
Site_274,min_level,decreasing,True
Site_275,avg_level,decreasing,True
Site_275,min_level,decreasing,True
Site_276,avg_level,decreasing,True
Site_276,min_level,decreasing,True
Site_277,avg_level,decreasing,True
Site_277,min_level,decreasing,True
Site_278,avg_level,decreasing,True
Site_278,min_level,decreasing,True
Site_279,avg_level,decreasing,True
Site_279,min_level,decreasing,True
Site_280,avg_level,decreasing,True
Site_280,min_level,decreasing,True
Site_281,avg_level,decreasing,True
Site_281,min_level,decreasing,True
Site_282,avg_level,decreasing,True
Site_282,min_level,decreasing,True
Site_283,avg_level,decreasing,True
Site_283,min_level,decreasing,True
Site_284,avg_level,decreasing,True
Site_284,min_level,decreasing,True
Site_285,avg_level,decreasing,True
Site_285,min_level,decreasing,True
Site_286,avg_level,decreasing,True
Site_286,min_level,decreasing,True
Site_287,avg_level,decreasing,True
Site_287,min_level,decreasing,True
Site_288,avg_level,decreasing,True
Site_288,min_level,decreasing,True
Site_289,avg_level,decreasing,True
Site_289,min_level,decreasing,True
Site_290,avg_level,decreasing,True
Site_290,min_level,decreasing,True
Site_291,avg_level,decreasing,True
Site_291,min_level,decreasing,True
Site_292,avg_level,decreasing,True
Site_292,min_level,decreasing,True
Site_293,avg_level,decreasing,True
Site_293,min_level,decreasing,True
Site_294,avg_level,decreasing,True
Site_294,min_level,decreasing,True
Site_295,avg_level,decreasing,True
Site_295,min_level,decreasing,True
Site_296,avg_level,decreasing,True
Site_296,min_level,decreasing,True
Site_297,avg_level,decreasing,True
Site_297,min_level,decreasing,True
Site_298,avg_level,decreasing,True
Site_298,min_level,decreasing,True
Site_299,avg_level,decreasing,True
Site_299,min_level,decreasing,True
Site_300,avg_level,decreasing,True
Site_300,min_level,decreasing,True
Site_301,avg_level,decreasing,True
Site_301,min_level,decreasing,True
Site_302,avg_level,decreasing,True
Site_302,min_level,decreasing,True
Site_303,avg_level,decreasing,True
Site_303,min_level,decreasing,True
Site_304,avg_level,decreasing,True
Site_304,min_level,decreasing,True
Site_305,avg_level,decreasing,True
Site_305,min_level,decreasing,True
Site_306,avg_level,decreasing,True
Site_306,min_level,decreasing,True
Site_307,avg_level,decreasing,True
Site_307,min_level,decreasing,True
Site_308,avg_level,decreasing,True
Site_308,min_level,decreasing,True
Site_309,avg_level,decreasing,True
Site_309,min_level,decreasing,True
Site_310,avg_level,decreasing,True
Site_310,min_level,decreasing,True
Site_311,avg_level,decreasing,True
Site_311,min_level,decreasing,True
Site_312,avg_level,decreasing,True
Site_312,min_level,decreasing,True
Site_313,avg_level,decreasing,True
Site_313,min_level,decreasing,True
Site_314,avg_level,decreasing,True
Site_314,min_level,decreasing,True
Site_315,avg_level,decreasing,True
Site_315,min_level,decreasing,True
Site_316,avg_level,decreasing,True
Site_316,min_level,decreasing,True
Site_317,avg_level,decreasing,True
Site_317,min_level,decreasing,True
Site_318,avg_level,decreasing,True
Site_318,min_level,decreasing,True
Site_319,avg_level,decreasing,True
Site_319,min_level,decreasing,True
Site_320,avg_level,decreasing,True
Site_320,min_level,decreasing,True
Site_321,avg_level,decreasing,True
Site_321,min_level,decreasing,True
Site_322,avg_level,decreasing,True
Site_322,min_level,decreasing,True
Site_323,avg_level,decreasing,True
Site_323,min_level,decreasing,True
Site_324,avg_level,decreasing,True
Site_324,min_level,decreasing,True
Site_325,avg_level,decreasing,True
Site_325,min_level,decreasing,True
Site_326,avg_level,decreasing,True
Site_326,min_level,decreasing,True
Site_327,avg_level,decreasing,True
Site_327,min_level,decreasing,True
Site_328,avg_level,decreasing,True
Site_328,min_level,decreasing,True
Site_329,avg_level,decreasing,True
Site_329,min_level,decreasing,True
Site_330,avg_level,decreasing,True
Site_330,min_level,decreasing,True
Site_331,avg_level,decreasing,True
Site_331,min_level,decreasing,True
Site_332,avg_level,decreasing,True
Site_332,min_level,decreasing,True
Site_333,avg_level,decreasing,True
Site_333,min_level,decreasing,True
Site_334,avg_level,decreasing,True
Site_334,min_level,decreasing,True
Site_335,avg_level,decreasing,True
Site_335,min_level,decreasing,True
Site_336,avg_level,decreasing,True
Site_336,min_level,decreasing,True
Site_337,avg_level,decreasing,True
Site_337,min_level,decreasing,True
Site_338,avg_level,decreasing,True
Site_338,min_level,decreasing,True
Site_339,avg_level,decreasing,True
Site_339,min_level,decreasing,True
Site_340,avg_level,decreasing,True
Site_340,min_level,decreasing,True
Site_341,avg_level,decreasing,True
Site_341,min_level,decreasing,True
Site_342,avg_level,decreasing,True
Site_342,min_level,decreasing,True
Site_343,avg_level,decreasing,True
Site_343,min_level,decreasing,True
Site_344,avg_level,decreasing,True
Site_344,min_level,decreasing,True
Site_345,avg_level,decreasing,True
Site_345,min_level,decreasing,True
Site_346,avg_level,decreasing,True
Site_346,min_level,decreasing,True
Site_347,avg_level,decreasing,True
Site_347,min_level,decreasing,True
Site_348,avg_level,decreasing,True
Site_348,min_level,decreasing,True
Site_349,avg_level,decreasing,True
Site_349,min_level,decreasing,True
Site_350,avg_level,decreasing,True
Site_350,min_level,decreasing,True
Site_351,avg_level,decreasing,True
Site_351,min_level,decreasing,True
Site_352,avg_level,decreasing,True
Site_352,min_level,decreasing,True
Site_353,avg_level,decreasing,True
Site_353,min_level,decreasing,True
Site_354,avg_level,decreasing,True
Site_354,min_level,decreasing,True
Site_355,avg_level,decreasing,True
Site_355,min_level,decreasing,True
Site_356,avg_level,decreasing,True
Site_356,min_level,decreasing,True
Site_357,avg_level,decreasing,True
Site_357,min_level,decreasing,True
Site_358,avg_level,decreasing,True
Site_358,min_level,decreasing,True
Site_359,avg_level,decreasing,True
Site_359,min_level,decreasing,True
Site_360,avg_level,decreasing,True
Site_360,min_level,decreasing,True
Site_361,avg_level,decreasing,True
Site_361,min_level,decreasing,True
Site_362,avg_level,decreasing,True
Site_362,min_level,decreasing,True
Site_363,avg_level,decreasing,True
Site_363,min_level,decreasing,True
Site_364,avg_level,decreasing,True
Site_364,min_level,decreasing,True
Site_365,avg_level,decreasing,True
Site_365,min_level,decreasing,True
Site_366,avg_level,decreasing,True
Site_366,min_level,decreasing,True
Site_367,avg_level,decreasing,True
Site_367,min_level,decreasing,True
Site_368,avg_level,decreasing,True
Site_368,min_level,decreasing,True
Site_369,avg_level,decreasing,True
Site_369,min_level,decreasing,True
Site_370,avg_level,decreasing,True
Site_370,min_level,decreasing,True
Site_371,avg_level,decreasing,True
Site_371,min_level,decreasing,True
Site_372,avg_level,decreasing,True
Site_372,min_level,decreasing,True
Site_373,avg_level,decreasing,True
Site_373,min_level,decreasing,True
Site_374,avg_level,decreasing,True
Site_374,min_level,decreasing,True
Site_375,avg_level,decreasing,True
Site_375,min_level,decreasing,True
Site_376,avg_level,decreasing,True
Site_376,min_level,decreasing,True
Site_377,avg_level,decreasing,True
Site_377,min_level,decreasing,True
Site_378,avg_level,decreasing,True
Site_378,min_level,decreasing,True
Site_379,avg_level,decreasing,True
Site_379,min_level,decreasing,True
Site_380,avg_level,decreasing,True
Site_380,min_level,decreasing,True
Site_381,avg_level,decreasing,True
Site_381,min_level,decreasing,True
Site_382,avg_level,decreasing,True
Site_382,min_level,decreasing,True
Site_383,avg_level,decreasing,True
Site_383,min_level,decreasing,True
Site_384,avg_level,decreasing,True
Site_384,min_level,decreasing,True
Site_385,avg_level,decreasing,True
Site_385,min_level,decreasing,True
Site_386,avg_level,decreasing,True
Site_386,min_level,decreasing,True
Site_387,avg_level,decreasing,True
Site_387,min_level,decreasing,True
Site_388,avg_level,decreasing,True
Site_388,min_level,decreasing,True
Site_389,avg_level,decreasing,True
Site_389,min_level,decreasing,True
Site_390,avg_level,decreasing,True
Site_390,min_level,decreasing,True
Site_391,avg_level,decreasing,True
Site_391,min_level,decreasing,True
Site_392,avg_level,decreasing,True
Site_392,min_level,decreasing,True
Site_393,avg_level,decreasing,True
Site_393,min_level,decreasing,True
Site_394,avg_level,decreasing,True
Site_394,min_level,decreasing,True
Site_395,avg_level,decreasing,True
Site_395,min_level,decreasing,True
Site_396,avg_level,decreasing,True
Site_396,min_level,decreasing,True
Site_397,avg_level,decreasing,True
Site_397,min_level,decreasing,True
Site_398,avg_level,decreasing,True
Site_398,min_level,decreasing,True
Site_399,avg_level,decreasing,True
Site_399,min_level,decreasing,True
Site_400,avg_level,decreasing,True
Site_400,min_level,decreasing,True
Site_401,avg_level,decreasing,True
Site_401,min_level,decreasing,True
Site_402,avg_level,decreasing,True
Site_402,min_level,decreasing,True
Site_403,avg_level,decreasing,True
Site_403,min_level,decreasing,True
Site_404,avg_level,decreasing,True
Site_404,min_level,decreasing,True
Site_405,avg_level,decreasing,True
Site_405,min_level,decreasing,True
Site_406,avg_level,decreasing,True
Site_406,min_level,decreasing,True
Site_407,avg_level,decreasing,True
Site_407,min_level,decreasing,True
Site_408,avg_level,decreasing,True
Site_408,min_level,decreasing,True
Site_409,avg_level,decreasing,True
Site_409,min_level,decreasing,True
Site_410,avg_level,decreasing,True
Site_410,min_level,decreasing,True
Site_411,avg_level,decreasing,True
Site_411,min_level,decreasing,True
Site_412,avg_level,decreasing,True
Site_412,min_level,decreasing,True
Site_413,avg_level,decreasing,True
Site_413,min_level,decreasing,True
Site_414,avg_level,decreasing,True
Site_414,min_level,decreasing,True
Site_415,avg_level,decreasing,True
Site_415,min_level,decreasing,True
Site_416,avg_level,decreasing,True
Site_416,min_level,decreasing,True
Site_417,avg_level,decreasing,True
Site_417,min_level,decreasing,True
Site_418,avg_level,decreasing,True
Site_418,min_level,decreasing,True
Site_419,avg_level,decreasing,True
Site_419,min_level,decreasing,True
Site_420,avg_level,decreasing,True
Site_420,min_level,decreasing,True
Site_421,avg_level,decreasing,True
Site_421,min_level,decreasing,True
Site_422,avg_level,decreasing,True
Site_422,min_level,decreasing,True
Site_423,avg_level,decreasing,True
Site_423,min_level,decreasing,True
Site_424,avg_level,decreasing,True
