AgencyCd,SiteNo,AgencyNm,SiteName,DecLatVa,DecLongVa,HorzDatum,HorzMethod,HorzAcy,AltVa,AltUnits,AltUnitsNm,AltDatumCd,AltMethod,AltAcy,WellDepthUnits,WellDepthUnitsNm,NatAquiferCd,NatAqfrDesc,CountryCd,CountryNm,StateCd,StateNm,CountyCd,CountyNm,LocalAquiferName,SiteType,AquiferType,QwSnFlag,QwSnDesc,QwBaselineFlag,QwBaselineDesc,WlSysName,WlSnFlag,WlSnDesc,WlBaselineFlag,WlBaselineDesc,WlWellChars,WlWellCharsDesc,WlWellType,WlWellTypeDesc,WlWellPurpose,WlWellPurposeDesc,Link,WellDepth,QwSysName,QwWellChars,QwWellCharsDesc,QwWellType,QwWellTypeDesc,QwWellPurpose,QwWellPurposeDesc,WlWellPurposeNotes,Column1
TWDB,660202.0,Texas Water Development Board,TWDB:0660202,35.1,-101.559167,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3494.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0660202&Type=GWDB,199.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
TWDB,663203.0,Texas Water Development Board,TWDB:0663203,35.1,-101.183611,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3152.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0663203&Type=GWDB,315.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
TWDB,664702.0,Texas Water Development Board,TWDB:0664702,35.01,-101.1138889,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,2980.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0664702&Type=GWDB,280.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
TWDB,663204.0,Texas Water Development Board,Goodnight Quad,35.093889,-101.183611,NAD83,GPS,+/- 0.5 Seconds,3145.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0663204&Type=GWDB,308.0,,,,,,,,,
TWDB,662402.0,Texas Water Development Board,TWDB:0662402,35.075,-101.3691667,NAD83,Interpolated From Topo Map,+/- 1 Second,3363.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0662402&Type=GWDB,250.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
TWDB,1107750.0,Texas Water Development Board,1107750,34.895834,-101.232222,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3266.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1107750&Type=GWDB,,,,,,,,,,
TWDB,1112522.0,Texas Water Development Board,TWDB:1112522,34.792778,-101.542778,NAD83,Interpolated From Topo Map,+/- 1 Second,3396.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1112522&Type=GWDB,160.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
TWDB,1112901.0,Texas Water Development Board,TWDB:1112901,34.763056,-101.528611,NAD83,Interpolated From Topo Map,+/- 1 Second,3394.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1112901&Type=GWDB,175.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
TWDB,652501.0,Texas Water Development Board,TWDB:0652501,35.176389,-101.559723,NAD83,Interpolated From Topo Map,+/- 1 Second,3524.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0652501&Type=GWDB,263.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
TWDB,655615.0,Texas Water Development Board,TWDB:0655615,35.179722,-101.126111,NAD83,Interpolated From Topo Map,+/- 1 Second,3297.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0655615&Type=GWDB,448.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
TWDB,1112701.0,Texas Water Development Board,Wayside Quad,34.778333,-101.616667,NAD83,GPS,+/- 0.5 Seconds,3454.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2461502&Type=GWDB,190.0,,,,,,,,,
TWDB,656404.0,Texas Water Development Board,TWDB:0656404,35.18,-101.1044444,NAD83,Interpolated From Topo Map,+/- 1 Second,3281.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0656404&Type=GWDB,520.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
